LogDebug:mfReceiveAndForward:otsdaq_utilities/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [128]	Starting...
LogDebug:mfReceiveAndForward:otsdaq_utilities/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [512]	WrapAvoid Pack count ==> 13 sz=4070
LogDebug:mfReceiveAndForward:otsdaq_utilities/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [465]	Pack count ==> 18 sz=4976
LogDebug:mfReceiveAndForward:otsdaq_utilities/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [512]	WrapAvoid Pack count ==> 13 sz=3842
LogDebug:mfReceiveAndForward:otsdaq_utilities/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [465]	Pack count ==> 18 sz=4773
LogDebug:mfReceiveAndForward:otsdaq_utilities/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [512]	WrapAvoid Pack count ==> 13 sz=3083
LogDebug:mfReceiveAndForward:otsdaq_utilities/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [465]	Pack count ==> 18 sz=4729
LogDebug:mfReceiveAndForward:otsdaq_utilities/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [512]	WrapAvoid Pack count ==> 13 sz=3253
LogDebug:mfReceiveAndForward:otsdaq_utilities/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [465]	Pack count ==> 16 sz=4726
LogDebug:mfReceiveAndForward:otsdaq_utilities/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [512]	WrapAvoid Pack count ==> 13 sz=3870
LogDebug:mfReceiveAndForward:otsdaq_utilities/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [465]	Pack count ==> 17 sz=4804
LogDebug:mfReceiveAndForward:otsdaq_utilities/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [512]	WrapAvoid Pack count ==> 13 sz=2877
MFfwd missed 471 vs 380 91 packet(s) from 2017!
LogDebug:mfReceiveAndForward:otsdaq_utilities/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [465]	Pack count ==> 24 sz=4874
LogDebug:mfReceiveAndForward:otsdaq_utilities/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [512]	WrapAvoid Pack count ==> 13 sz=3522
LogDebug:mfReceiveAndForward:otsdaq_utilities/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [465]	Pack count ==> 19 sz=4928
LogDebug:mfReceiveAndForward:otsdaq_utilities/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [512]	WrapAvoid Pack count ==> 13 sz=3075
